panel_label,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_pairs,mean_with_amm,mean_without_amm,mean_delta_with_minus_without,median_delta_with_minus_without,share_positive_delta,permutation_stat,permutation_p_value,ci_level,delta_ci_lo,delta_ci_hi
Flash Crash,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,half_life_steps,Half-life,all,300,291.82,286.95666666666665,4.863333333333333,-4.0,0.48,4.863333333333333,0.7675232476752325,0.95,-27.30083333333332,34.30849999999999
Dealer Liquidity Crisis,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovered_indicator,Recovered Indicator,all,300,0.02666666666666667,0.03,-0.0033333333333333335,0.0,0.02666666666666667,-0.0033333333333333335,1.0,0.95,-0.03,0.023333333333333334
Dealer Liquidity Crisis,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,time_observed_steps,Observed Time,all,300,37.663333333333334,36.59,1.0733333333333333,0.0,0.47,1.0733333333333333,0.8328167183281672,0.95,-8.829416666666662,11.367833333333328
Dealer Liquidity Crisis,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovery_steps_both_recovered,Recovery Steps,both_recovered,0,nan,nan,nan,nan,nan,nan,nan,0.95,nan,nan
Dealer Liquidity Crisis,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,half_life_steps,Half-life,all,300,153.72666666666666,123.28333333333333,30.44333333333333,3.0,0.5466666666666666,30.44333333333333,0.041195880411958805,0.95,-0.6074999999999986,58.87049999999999
Funding Liquidity Shock,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovered_indicator,Recovered Indicator,all,300,0.006666666666666667,0.043333333333333335,-0.03666666666666667,0.0,0.0033333333333333335,-0.03666666666666667,0.0027997200279972004,0.95,-0.06,-0.016666666666666666
Funding Liquidity Shock,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,time_observed_steps,Observed Time,all,300,32.406666666666666,44.21,-11.803333333333333,-0.5,0.4766666666666667,-11.803333333333333,0.0187981201879812,0.95,-22.193416666666664,-1.9790000000000054
Funding Liquidity Shock,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovery_steps_both_recovered,Recovery Steps,both_recovered,1,513.0,92.0,421.0,421.0,1.0,421.0,1.0,0.95,421.0,421.0
Funding Liquidity Shock,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,half_life_steps,Half-life,all,300,181.81666666666666,140.74666666666667,41.07,7.0,0.58,41.07,0.009999000099990002,0.95,12.010583333333338,71.467
High-Vol Stress,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovered_indicator,Recovered Indicator,all,300,0.01,0.01,0.0,0.0,0.01,0.0,1.0,0.95,-0.016666666666666666,0.016666666666666666
High-Vol Stress,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,time_observed_steps,Observed Time,all,300,187.21666666666667,177.32666666666665,9.89,4.0,0.55,9.89,0.06529347065293471,0.95,-0.8738333333333325,20.190416666666664
High-Vol Stress,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,recovery_steps_both_recovered,Recovery Steps,both_recovered,0,nan,nan,nan,nan,nan,nan,nan,0.95,nan,nan
High-Vol Stress,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,half_life_steps,Half-life,all,300,211.1,210.35333333333332,0.7466666666666667,0.0,0.49666666666666665,0.7466666666666667,0.6968303169683032,0.95,-2.4868333333333332,4.3934999999999995
