panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_used,mean,std,median,ci_level,ci_lo,ci_hi
MM Withdrawal (Isolated),with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,288,80.31597222222223,82.07649713303978,50.0,0.95,70.95954861111112,90.03159722222222
MM Withdrawal (Isolated),without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9666666666666667,0.17980541941701306,1.0,0.95,0.9433333333333334,0.9866666666666667
MM Withdrawal (Isolated),without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,100.82666666666667,124.99839446014605,55.0,0.95,87.62641666666667,115.187
MM Withdrawal (Isolated),without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.19421650739773583,0.03690473733976971,0.19047550668695368,0.95,0.190227968744378,0.1984919129091628
MM Withdrawal (Isolated),without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.5246833983193692,0.08170013128810336,-0.5205463359906657,0.95,-0.5338956349245617,-0.5157293868782593
MM Withdrawal (Isolated),without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,290,83.61379310344827,85.12341426918248,54.5,0.95,73.99577586206897,93.59344827586207
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.97,0.17087224588772665,1.0,0.95,0.95,0.9866666666666667
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,82.79666666666667,116.07814512131431,47.0,0.95,70.35333333333334,96.53516666666665
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.18166730960506194,0.042522924942707395,0.17362975613170623,0.95,0.17712374898263145,0.18679006989678715
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.6319247647943584,0.07606651383595703,-0.634409158838835,0.95,-0.6405694507262727,-0.6231456500577602
Flash Crash,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,291,66.80068728522336,73.03316298831466,46.0,0.95,59.09192439862544,75.92886597938144
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.96,0.19628659682628738,1.0,0.95,0.9366666666666666,0.98
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,89.48333333333333,122.23855339188214,48.0,0.95,76.7475,103.74041666666666
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.17951543476173162,0.033997771969863054,0.17347441470149982,0.95,0.1756105388512194,0.18352405544774206
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.623590308522874,0.07007260563051161,-0.6220442075231623,0.95,-0.6317054143957902,-0.6156615213817289
Flash Crash,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,288,68.21180555555556,64.9281586331246,46.5,0.95,61.34626736111111,75.87708333333332
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.99,0.09966499068325335,1.0,0.95,0.9766666666666667,1.0
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,81.64,67.79116861218739,67.0,0.95,74.69941666666666,89.44108333333332
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.18604241526270687,0.026529546314362086,0.18133564409142686,0.95,0.18311453075441117,0.18903416789309554
Dealer Liquidity Crisis,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,-0.8082455951611606,0.05379798077123122,-0.8115940493025227,0.95,-0.8144490869985699,-0.8020434802191542
